,Vehicles,Month,Day,Hour,Vehicles_lag_1,Vehicles_lag_2
2015-11-02 14:00:00,34,11,2,14,26.0,35.0
2015-11-02 15:00:00,30,11,2,15,34.0,26.0
2015-11-02 16:00:00,27,11,2,16,30.0,34.0
2015-11-02 17:00:00,27,11,2,17,27.0,30.0
2015-11-02 18:00:00,24,11,2,18,27.0,27.0
2015-11-02 19:00:00,26,11,2,19,24.0,27.0
2015-11-02 20:00:00,29,11,2,20,26.0,24.0
2015-11-02 21:00:00,32,11,2,21,29.0,26.0
2015-11-02 22:00:00,30,11,2,22,32.0,29.0
2015-11-02 23:00:00,27,11,2,23,30.0,32.0
2015-11-03 00:00:00,21,11,3,0,27.0,30.0
2015-11-03 01:00:00,18,11,3,1,21.0,27.0
2015-11-03 02:00:00,19,11,3,2,18.0,21.0
2015-11-03 03:00:00,13,11,3,3,19.0,18.0
2015-11-03 04:00:00,11,11,3,4,13.0,19.0
2015-11-03 05:00:00,11,11,3,5,11.0,13.0
2015-11-03 06:00:00,11,11,3,6,11.0,11.0
2015-11-03 07:00:00,14,11,3,7,11.0,11.0
2015-11-03 08:00:00,15,11,3,8,14.0,11.0
2015-11-03 09:00:00,29,11,3,9,15.0,14.0
2015-11-03 10:00:00,33,11,3,10,29.0,15.0
2015-11-03 11:00:00,32,11,3,11,33.0,29.0
2015-11-03 12:00:00,32,11,3,12,32.0,33.0
2015-11-03 13:00:00,29,11,3,13,32.0,32.0
2015-11-03 14:00:00,27,11,3,14,29.0,32.0
2015-11-03 15:00:00,26,11,3,15,27.0,29.0
2015-11-03 16:00:00,28,11,3,16,26.0,27.0
2015-11-03 17:00:00,26,11,3,17,28.0,26.0
2015-11-03 18:00:00,25,11,3,18,26.0,28.0
2015-11-03 19:00:00,29,11,3,19,25.0,26.0
2015-11-03 20:00:00,26,11,3,20,29.0,25.0
2015-11-03 21:00:00,24,11,3,21,26.0,29.0
2015-11-03 22:00:00,25,11,3,22,24.0,26.0
2015-11-03 23:00:00,20,11,3,23,25.0,24.0
2015-11-04 00:00:00,18,11,4,0,20.0,25.0
2015-11-04 01:00:00,18,11,4,1,18.0,20.0
2015-11-04 02:00:00,13,11,4,2,18.0,18.0
2015-11-04 03:00:00,13,11,4,3,13.0,18.0
2015-11-04 04:00:00,10,11,4,4,13.0,13.0
2015-11-04 05:00:00,12,11,4,5,10.0,13.0
2015-11-04 06:00:00,13,11,4,6,12.0,10.0
2015-11-04 07:00:00,11,11,4,7,13.0,12.0
2015-11-04 08:00:00,13,11,4,8,11.0,13.0
2015-11-04 09:00:00,22,11,4,9,13.0,11.0
2015-11-04 10:00:00,26,11,4,10,22.0,13.0
2015-11-04 11:00:00,27,11,4,11,26.0,22.0
2015-11-04 12:00:00,31,11,4,12,27.0,26.0
2015-11-04 13:00:00,24,11,4,13,31.0,27.0
2015-11-04 14:00:00,23,11,4,14,24.0,31.0
2015-11-04 15:00:00,26,11,4,15,23.0,24.0
2015-11-04 16:00:00,26,11,4,16,26.0,23.0
2015-11-04 17:00:00,24,11,4,17,26.0,26.0
2015-11-04 18:00:00,23,11,4,18,24.0,26.0
2015-11-04 19:00:00,25,11,4,19,23.0,24.0
2015-11-04 20:00:00,26,11,4,20,25.0,23.0
2015-11-04 21:00:00,24,11,4,21,26.0,25.0
2015-11-04 22:00:00,26,11,4,22,24.0,26.0
2015-11-04 23:00:00,24,11,4,23,26.0,24.0
2015-11-05 00:00:00,19,11,5,0,24.0,26.0
2015-11-05 01:00:00,20,11,5,1,19.0,24.0
2015-11-05 02:00:00,18,11,5,2,20.0,19.0
2015-11-05 03:00:00,13,11,5,3,18.0,20.0
2015-11-05 04:00:00,13,11,5,4,13.0,18.0
2015-11-05 05:00:00,9,11,5,5,13.0,13.0
2015-11-05 06:00:00,12,11,5,6,9.0,13.0
2015-11-05 07:00:00,12,11,5,7,12.0,9.0
2015-11-05 08:00:00,15,11,5,8,12.0,12.0
2015-11-05 09:00:00,16,11,5,9,15.0,12.0
2015-11-05 10:00:00,23,11,5,10,16.0,15.0
2015-11-05 11:00:00,24,11,5,11,23.0,16.0
2015-11-05 12:00:00,25,11,5,12,24.0,23.0
2015-11-05 13:00:00,24,11,5,13,25.0,24.0
2015-11-05 14:00:00,26,11,5,14,24.0,25.0
2015-11-05 15:00:00,22,11,5,15,26.0,24.0
2015-11-05 16:00:00,20,11,5,16,22.0,26.0
2015-11-05 17:00:00,20,11,5,17,20.0,22.0
2015-11-05 18:00:00,22,11,5,18,20.0,20.0
2015-11-05 19:00:00,26,11,5,19,22.0,20.0
2015-11-05 20:00:00,22,11,5,20,26.0,22.0
2015-11-05 21:00:00,21,11,5,21,22.0,26.0
2015-11-05 22:00:00,21,11,5,22,21.0,22.0
2015-11-05 23:00:00,21,11,5,23,21.0,21.0
2015-11-06 00:00:00,16,11,6,0,21.0,21.0
2015-11-06 01:00:00,18,11,6,1,16.0,21.0
2015-11-06 02:00:00,19,11,6,2,18.0,16.0
2015-11-06 03:00:00,14,11,6,3,19.0,18.0
2015-11-06 04:00:00,12,11,6,4,14.0,19.0
2015-11-06 05:00:00,13,11,6,5,12.0,14.0
2015-11-06 06:00:00,14,11,6,6,13.0,12.0
2015-11-06 07:00:00,14,11,6,7,14.0,13.0
2015-11-06 08:00:00,13,11,6,8,14.0,14.0
2015-11-06 09:00:00,20,11,6,9,13.0,14.0
2015-11-06 10:00:00,22,11,6,10,20.0,13.0
2015-11-06 11:00:00,26,11,6,11,22.0,20.0
2015-11-06 12:00:00,26,11,6,12,26.0,22.0
2015-11-06 13:00:00,21,11,6,13,26.0,26.0
2015-11-06 14:00:00,23,11,6,14,21.0,26.0
2015-11-06 15:00:00,23,11,6,15,23.0,21.0
2015-11-06 16:00:00,19,11,6,16,23.0,23.0
2015-11-06 17:00:00,19,11,6,17,19.0,23.0
2015-11-06 18:00:00,20,11,6,18,19.0,19.0
2015-11-06 19:00:00,24,11,6,19,20.0,19.0
2015-11-06 20:00:00,18,11,6,20,24.0,20.0
2015-11-06 21:00:00,19,11,6,21,18.0,24.0
2015-11-06 22:00:00,16,11,6,22,19.0,18.0
2015-11-06 23:00:00,17,11,6,23,16.0,19.0
2015-11-07 00:00:00,16,11,7,0,17.0,16.0
2015-11-07 01:00:00,16,11,7,1,16.0,17.0
2015-11-07 02:00:00,10,11,7,2,16.0,16.0
2015-11-07 03:00:00,9,11,7,3,10.0,16.0
2015-11-07 04:00:00,8,11,7,4,9.0,10.0
2015-11-07 05:00:00,7,11,7,5,8.0,9.0
2015-11-07 06:00:00,9,11,7,6,7.0,8.0
2015-11-07 07:00:00,8,11,7,7,9.0,7.0
2015-11-07 08:00:00,12,11,7,8,8.0,9.0
2015-11-07 09:00:00,13,11,7,9,12.0,8.0
2015-11-07 10:00:00,17,11,7,10,13.0,12.0
2015-11-07 11:00:00,14,11,7,11,17.0,13.0
2015-11-07 12:00:00,14,11,7,12,14.0,17.0
2015-11-07 13:00:00,14,11,7,13,14.0,14.0
2015-11-07 14:00:00,14,11,7,14,14.0,14.0
2015-11-07 15:00:00,11,11,7,15,14.0,14.0
2015-11-07 16:00:00,15,11,7,16,11.0,14.0
2015-11-07 17:00:00,13,11,7,17,15.0,11.0
2015-11-07 18:00:00,12,11,7,18,13.0,15.0
2015-11-07 19:00:00,17,11,7,19,12.0,13.0
2015-11-07 20:00:00,18,11,7,20,17.0,12.0
2015-11-07 21:00:00,17,11,7,21,18.0,17.0
2015-11-07 22:00:00,16,11,7,22,17.0,18.0
2015-11-07 23:00:00,15,11,7,23,16.0,17.0
2015-11-08 00:00:00,13,11,8,0,15.0,16.0
2015-11-08 01:00:00,16,11,8,1,13.0,15.0
2015-11-08 02:00:00,11,11,8,2,16.0,13.0
2015-11-08 03:00:00,8,11,8,3,11.0,16.0
2015-11-08 04:00:00,10,11,8,4,8.0,11.0
2015-11-08 05:00:00,10,11,8,5,10.0,8.0
2015-11-08 06:00:00,10,11,8,6,10.0,10.0
2015-11-08 07:00:00,9,11,8,7,10.0,10.0
2015-11-08 08:00:00,11,11,8,8,9.0,10.0
2015-11-08 09:00:00,12,11,8,9,11.0,9.0
2015-11-08 10:00:00,18,11,8,10,12.0,11.0
2015-11-08 11:00:00,14,11,8,11,18.0,12.0
2015-11-08 12:00:00,17,11,8,12,14.0,18.0
2015-11-08 13:00:00,14,11,8,13,17.0,14.0
2015-11-08 14:00:00,14,11,8,14,14.0,17.0
2015-11-08 15:00:00,14,11,8,15,14.0,14.0
2015-11-08 16:00:00,12,11,8,16,14.0,14.0
2015-11-08 17:00:00,14,11,8,17,12.0,14.0
2015-11-08 18:00:00,18,11,8,18,14.0,12.0
2015-11-08 19:00:00,13,11,8,19,18.0,14.0
2015-11-08 20:00:00,16,11,8,20,13.0,18.0
2015-11-08 21:00:00,18,11,8,21,16.0,13.0
2015-11-08 22:00:00,14,11,8,22,18.0,16.0
2015-11-08 23:00:00,14,11,8,23,14.0,18.0
2015-11-09 00:00:00,13,11,9,0,14.0,14.0
2015-11-09 01:00:00,15,11,9,1,13.0,14.0
2015-11-09 02:00:00,11,11,9,2,15.0,13.0
2015-11-09 03:00:00,10,11,9,3,11.0,15.0
2015-11-09 04:00:00,9,11,9,4,10.0,11.0
2015-11-09 05:00:00,8,11,9,5,9.0,10.0
2015-11-09 06:00:00,8,11,9,6,8.0,9.0
2015-11-09 07:00:00,10,11,9,7,8.0,8.0
2015-11-09 08:00:00,11,11,9,8,10.0,8.0
2015-11-09 09:00:00,17,11,9,9,11.0,10.0
2015-11-09 10:00:00,19,11,9,10,17.0,11.0
2015-11-09 11:00:00,22,11,9,11,19.0,17.0
2015-11-09 12:00:00,23,11,9,12,22.0,19.0
2015-11-09 13:00:00,23,11,9,13,23.0,22.0
2015-11-09 14:00:00,24,11,9,14,23.0,23.0
2015-11-09 15:00:00,24,11,9,15,24.0,23.0
2015-11-09 16:00:00,19,11,9,16,24.0,24.0
2015-11-09 17:00:00,19,11,9,17,19.0,24.0
2015-11-09 18:00:00,20,11,9,18,19.0,19.0
2015-11-09 19:00:00,31,11,9,19,20.0,19.0
2015-11-09 20:00:00,25,11,9,20,31.0,20.0
2015-11-09 21:00:00,35,11,9,21,25.0,31.0
2015-11-09 22:00:00,21,11,9,22,35.0,25.0
2015-11-09 23:00:00,24,11,9,23,21.0,35.0
2015-11-10 00:00:00,19,11,10,0,24.0,21.0
2015-11-10 01:00:00,19,11,10,1,19.0,24.0
2015-11-10 02:00:00,18,11,10,2,19.0,19.0
2015-11-10 03:00:00,17,11,10,3,18.0,19.0
2015-11-10 04:00:00,12,11,10,4,17.0,18.0
2015-11-10 05:00:00,10,11,10,5,12.0,17.0
2015-11-10 06:00:00,14,11,10,6,10.0,12.0
2015-11-10 07:00:00,15,11,10,7,14.0,10.0
2015-11-10 08:00:00,14,11,10,8,15.0,14.0
2015-11-10 09:00:00,34,11,10,9,14.0,15.0
2015-11-10 10:00:00,40,11,10,10,34.0,14.0
2015-11-10 11:00:00,38,11,10,11,40.0,34.0
2015-11-10 12:00:00,36,11,10,12,38.0,40.0
2015-11-10 13:00:00,27,11,10,13,36.0,38.0
2015-11-10 14:00:00,48,11,10,14,27.0,36.0
2015-11-10 15:00:00,43,11,10,15,48.0,27.0
2015-11-10 16:00:00,41,11,10,16,43.0,48.0
2015-11-10 17:00:00,35,11,10,17,41.0,43.0
2015-11-10 18:00:00,40,11,10,18,35.0,41.0
2015-11-10 19:00:00,40,11,10,19,40.0,35.0
2015-11-10 20:00:00,40,11,10,20,40.0,40.0
2015-11-10 21:00:00,36,11,10,21,40.0,40.0
2015-11-10 22:00:00,37,11,10,22,36.0,40.0
2015-11-10 23:00:00,35,11,10,23,37.0,36.0
2015-11-11 00:00:00,28,11,11,0,35.0,37.0
2015-11-11 01:00:00,25,11,11,1,28.0,35.0
2015-11-11 02:00:00,19,11,11,2,25.0,28.0
2015-11-11 03:00:00,21,11,11,3,19.0,25.0
2015-11-11 04:00:00,20,11,11,4,21.0,19.0
2015-11-11 05:00:00,15,11,11,5,20.0,21.0
2015-11-11 06:00:00,17,11,11,6,15.0,20.0
2015-11-11 07:00:00,14,11,11,7,17.0,15.0
2015-11-11 08:00:00,19,11,11,8,14.0,17.0
2015-11-11 09:00:00,22,11,11,9,19.0,14.0
2015-11-11 10:00:00,30,11,11,10,22.0,19.0
2015-11-11 11:00:00,26,11,11,11,30.0,22.0
2015-11-11 12:00:00,26,11,11,12,26.0,30.0
2015-11-11 13:00:00,23,11,11,13,26.0,26.0
2015-11-11 14:00:00,23,11,11,14,23.0,26.0
2015-11-11 15:00:00,24,11,11,15,23.0,23.0
2015-11-11 16:00:00,22,11,11,16,24.0,23.0
2015-11-11 17:00:00,24,11,11,17,22.0,24.0
2015-11-11 18:00:00,26,11,11,18,24.0,22.0
2015-11-11 19:00:00,27,11,11,19,26.0,24.0
2015-11-11 20:00:00,22,11,11,20,27.0,26.0
2015-11-11 21:00:00,23,11,11,21,22.0,27.0
2015-11-11 22:00:00,22,11,11,22,23.0,22.0
2015-11-11 23:00:00,22,11,11,23,22.0,23.0
2015-11-12 00:00:00,22,11,12,0,22.0,22.0
2015-11-12 01:00:00,17,11,12,1,22.0,22.0
2015-11-12 02:00:00,15,11,12,2,17.0,22.0
2015-11-12 03:00:00,12,11,12,3,15.0,17.0
2015-11-12 04:00:00,13,11,12,4,12.0,15.0
2015-11-12 05:00:00,9,11,12,5,13.0,12.0
2015-11-12 06:00:00,14,11,12,6,9.0,13.0
2015-11-12 07:00:00,13,11,12,7,14.0,9.0
2015-11-12 08:00:00,15,11,12,8,13.0,14.0
2015-11-12 09:00:00,27,11,12,9,15.0,13.0
2015-11-12 10:00:00,39,11,12,10,27.0,15.0
2015-11-12 11:00:00,40,11,12,11,39.0,27.0
2015-11-12 12:00:00,36,11,12,12,40.0,39.0
2015-11-12 13:00:00,34,11,12,13,36.0,40.0
2015-11-12 14:00:00,33,11,12,14,34.0,36.0
2015-11-12 15:00:00,28,11,12,15,33.0,34.0
2015-11-12 16:00:00,30,11,12,16,28.0,33.0
2015-11-12 17:00:00,26,11,12,17,30.0,28.0
2015-11-12 18:00:00,30,11,12,18,26.0,30.0
2015-11-12 19:00:00,35,11,12,19,30.0,26.0
2015-11-12 20:00:00,38,11,12,20,35.0,30.0
2015-11-12 21:00:00,34,11,12,21,38.0,35.0
2015-11-12 22:00:00,30,11,12,22,34.0,38.0
2015-11-12 23:00:00,27,11,12,23,30.0,34.0
2015-11-13 00:00:00,24,11,13,0,27.0,30.0
2015-11-13 01:00:00,21,11,13,1,24.0,27.0
2015-11-13 02:00:00,16,11,13,2,21.0,24.0
2015-11-13 03:00:00,16,11,13,3,16.0,21.0
2015-11-13 04:00:00,13,11,13,4,16.0,16.0
2015-11-13 05:00:00,11,11,13,5,13.0,16.0
2015-11-13 06:00:00,13,11,13,6,11.0,13.0
2015-11-13 07:00:00,15,11,13,7,13.0,11.0
2015-11-13 08:00:00,17,11,13,8,15.0,13.0
2015-11-13 09:00:00,18,11,13,9,17.0,15.0
2015-11-13 10:00:00,24,11,13,10,18.0,17.0
2015-11-13 11:00:00,41,11,13,11,24.0,18.0
2015-11-13 12:00:00,29,11,13,12,41.0,24.0
2015-11-13 13:00:00,25,11,13,13,29.0,41.0
2015-11-13 14:00:00,25,11,13,14,25.0,29.0
2015-11-13 15:00:00,26,11,13,15,25.0,25.0
2015-11-13 16:00:00,25,11,13,16,26.0,25.0
2015-11-13 17:00:00,24,11,13,17,25.0,26.0
2015-11-13 18:00:00,26,11,13,18,24.0,25.0
2015-11-13 19:00:00,24,11,13,19,26.0,24.0
2015-11-13 20:00:00,28,11,13,20,24.0,26.0
2015-11-13 21:00:00,22,11,13,21,28.0,24.0
2015-11-13 22:00:00,23,11,13,22,22.0,28.0
2015-11-13 23:00:00,18,11,13,23,23.0,22.0
2015-11-14 00:00:00,21,11,14,0,18.0,23.0
2015-11-14 01:00:00,20,11,14,1,21.0,18.0
2015-11-14 02:00:00,15,11,14,2,20.0,21.0
2015-11-14 03:00:00,13,11,14,3,15.0,20.0
2015-11-14 04:00:00,10,11,14,4,13.0,15.0
2015-11-14 05:00:00,10,11,14,5,10.0,13.0
2015-11-14 06:00:00,12,11,14,6,10.0,10.0
2015-11-14 07:00:00,9,11,14,7,12.0,10.0
2015-11-14 08:00:00,11,11,14,8,9.0,12.0
2015-11-14 09:00:00,15,11,14,9,11.0,9.0
2015-11-14 10:00:00,16,11,14,10,15.0,11.0
2015-11-14 11:00:00,16,11,14,11,16.0,15.0
2015-11-14 12:00:00,12,11,14,12,16.0,16.0
2015-11-14 13:00:00,11,11,14,13,12.0,16.0
2015-11-14 14:00:00,14,11,14,14,11.0,12.0
2015-11-14 15:00:00,16,11,14,15,14.0,11.0
2015-11-14 16:00:00,18,11,14,16,16.0,14.0
2015-11-14 17:00:00,13,11,14,17,18.0,16.0
2015-11-14 18:00:00,17,11,14,18,13.0,18.0
2015-11-14 19:00:00,15,11,14,19,17.0,13.0
2015-11-14 20:00:00,19,11,14,20,15.0,17.0
2015-11-14 21:00:00,15,11,14,21,19.0,15.0
2015-11-14 22:00:00,19,11,14,22,15.0,19.0
2015-11-14 23:00:00,15,11,14,23,19.0,15.0
2015-11-15 00:00:00,15,11,15,0,15.0,19.0
2015-11-15 01:00:00,13,11,15,1,15.0,15.0
2015-11-15 02:00:00,14,11,15,2,13.0,15.0
2015-11-15 03:00:00,10,11,15,3,14.0,13.0
2015-11-15 04:00:00,8,11,15,4,10.0,14.0
2015-11-15 05:00:00,9,11,15,5,8.0,10.0
2015-11-15 06:00:00,9,11,15,6,9.0,8.0
2015-11-15 07:00:00,9,11,15,7,9.0,9.0
2015-11-15 08:00:00,9,11,15,8,9.0,9.0
2015-11-15 09:00:00,16,11,15,9,9.0,9.0
2015-11-15 10:00:00,18,11,15,10,16.0,9.0
2015-11-15 11:00:00,18,11,15,11,18.0,16.0
2015-11-15 12:00:00,17,11,15,12,18.0,18.0
2015-11-15 13:00:00,18,11,15,13,17.0,18.0
2015-11-15 14:00:00,14,11,15,14,18.0,17.0
2015-11-15 15:00:00,15,11,15,15,14.0,18.0
2015-11-15 16:00:00,13,11,15,16,15.0,14.0
2015-11-15 17:00:00,15,11,15,17,13.0,15.0
2015-11-15 18:00:00,19,11,15,18,15.0,13.0
2015-11-15 19:00:00,18,11,15,19,19.0,15.0
2015-11-15 20:00:00,21,11,15,20,18.0,19.0
2015-11-15 21:00:00,17,11,15,21,21.0,18.0
2015-11-15 22:00:00,17,11,15,22,17.0,21.0
2015-11-15 23:00:00,15,11,15,23,17.0,17.0
2015-11-16 00:00:00,17,11,16,0,15.0,17.0
2015-11-16 01:00:00,14,11,16,1,17.0,15.0
2015-11-16 02:00:00,13,11,16,2,14.0,17.0
2015-11-16 03:00:00,15,11,16,3,13.0,14.0
2015-11-16 04:00:00,12,11,16,4,15.0,13.0
2015-11-16 05:00:00,12,11,16,5,12.0,15.0
2015-11-16 06:00:00,13,11,16,6,12.0,12.0
2015-11-16 07:00:00,14,11,16,7,13.0,12.0
2015-11-16 08:00:00,13,11,16,8,14.0,13.0
2015-11-16 09:00:00,16,11,16,9,13.0,14.0
2015-11-16 10:00:00,26,11,16,10,16.0,13.0
2015-11-16 11:00:00,21,11,16,11,26.0,16.0
2015-11-16 12:00:00,26,11,16,12,21.0,26.0
2015-11-16 13:00:00,24,11,16,13,26.0,21.0
2015-11-16 14:00:00,26,11,16,14,24.0,26.0
2015-11-16 15:00:00,22,11,16,15,26.0,24.0
2015-11-16 16:00:00,24,11,16,16,22.0,26.0
2015-11-16 17:00:00,26,11,16,17,24.0,22.0
2015-11-16 18:00:00,23,11,16,18,26.0,24.0
2015-11-16 19:00:00,29,11,16,19,23.0,26.0
2015-11-16 20:00:00,31,11,16,20,29.0,23.0
2015-11-16 21:00:00,27,11,16,21,31.0,29.0
2015-11-16 22:00:00,27,11,16,22,27.0,31.0
2015-11-16 23:00:00,26,11,16,23,27.0,27.0
2015-11-17 00:00:00,23,11,17,0,26.0,27.0
2015-11-17 01:00:00,21,11,17,1,23.0,26.0
2015-11-17 02:00:00,19,11,17,2,21.0,23.0
2015-11-17 03:00:00,16,11,17,3,19.0,21.0
2015-11-17 04:00:00,11,11,17,4,16.0,19.0
2015-11-17 05:00:00,11,11,17,5,11.0,16.0
2015-11-17 06:00:00,15,11,17,6,11.0,11.0
2015-11-17 07:00:00,12,11,17,7,15.0,11.0
2015-11-17 08:00:00,12,11,17,8,12.0,15.0
2015-11-17 09:00:00,18,11,17,9,12.0,12.0
2015-11-17 10:00:00,31,11,17,10,18.0,12.0
2015-11-17 11:00:00,42,11,17,11,31.0,18.0
2015-11-17 12:00:00,37,11,17,12,42.0,31.0
2015-11-17 13:00:00,30,11,17,13,37.0,42.0
2015-11-17 14:00:00,33,11,17,14,30.0,37.0
2015-11-17 15:00:00,28,11,17,15,33.0,30.0
2015-11-17 16:00:00,29,11,17,16,28.0,33.0
2015-11-17 17:00:00,28,11,17,17,29.0,28.0
2015-11-17 18:00:00,28,11,17,18,28.0,29.0
2015-11-17 19:00:00,31,11,17,19,28.0,28.0
2015-11-17 20:00:00,28,11,17,20,31.0,28.0
2015-11-17 21:00:00,26,11,17,21,28.0,31.0
2015-11-17 22:00:00,26,11,17,22,26.0,28.0
2015-11-17 23:00:00,27,11,17,23,26.0,26.0
2015-11-18 00:00:00,24,11,18,0,27.0,26.0
2015-11-18 01:00:00,23,11,18,1,24.0,27.0
2015-11-18 02:00:00,20,11,18,2,23.0,24.0
2015-11-18 03:00:00,19,11,18,3,20.0,23.0
2015-11-18 04:00:00,20,11,18,4,19.0,20.0
2015-11-18 05:00:00,16,11,18,5,20.0,19.0
2015-11-18 06:00:00,19,11,18,6,16.0,20.0
2015-11-18 07:00:00,16,11,18,7,19.0,16.0
2015-11-18 08:00:00,17,11,18,8,16.0,19.0
2015-11-18 09:00:00,19,11,18,9,17.0,16.0
2015-11-18 10:00:00,30,11,18,10,19.0,17.0
2015-11-18 11:00:00,44,11,18,11,30.0,19.0
2015-11-18 12:00:00,35,11,18,12,44.0,30.0
2015-11-18 13:00:00,34,11,18,13,35.0,44.0
2015-11-18 14:00:00,31,11,18,14,34.0,35.0
2015-11-18 15:00:00,31,11,18,15,31.0,34.0
2015-11-18 16:00:00,28,11,18,16,31.0,31.0
2015-11-18 17:00:00,34,11,18,17,28.0,31.0
2015-11-18 18:00:00,37,11,18,18,34.0,28.0
2015-11-18 19:00:00,37,11,18,19,37.0,34.0
2015-11-18 20:00:00,34,11,18,20,37.0,37.0
2015-11-18 21:00:00,31,11,18,21,34.0,37.0
2015-11-18 22:00:00,29,11,18,22,31.0,34.0
2015-11-18 23:00:00,28,11,18,23,29.0,31.0
2015-11-19 00:00:00,32,11,19,0,28.0,29.0
2015-11-19 01:00:00,23,11,19,1,32.0,28.0
2015-11-19 02:00:00,20,11,19,2,23.0,32.0
2015-11-19 03:00:00,16,11,19,3,20.0,23.0
2015-11-19 04:00:00,18,11,19,4,16.0,20.0
2015-11-19 05:00:00,17,11,19,5,18.0,16.0
2015-11-19 06:00:00,16,11,19,6,17.0,18.0
2015-11-19 07:00:00,17,11,19,7,16.0,17.0
2015-11-19 08:00:00,18,11,19,8,17.0,16.0
2015-11-19 09:00:00,25,11,19,9,18.0,17.0
2015-11-19 10:00:00,31,11,19,10,25.0,18.0
2015-11-19 11:00:00,32,11,19,11,31.0,25.0
2015-11-19 12:00:00,31,11,19,12,32.0,31.0
2015-11-19 13:00:00,29,11,19,13,31.0,32.0
2015-11-19 14:00:00,31,11,19,14,29.0,31.0
2015-11-19 15:00:00,31,11,19,15,31.0,29.0
2015-11-19 16:00:00,30,11,19,16,31.0,31.0
2015-11-19 17:00:00,28,11,19,17,30.0,31.0
2015-11-19 18:00:00,29,11,19,18,28.0,30.0
2015-11-19 19:00:00,36,11,19,19,29.0,28.0
2015-11-19 20:00:00,29,11,19,20,36.0,29.0
2015-11-19 21:00:00,28,11,19,21,29.0,36.0
2015-11-19 22:00:00,30,11,19,22,28.0,29.0
2015-11-19 23:00:00,29,11,19,23,30.0,28.0
2015-11-20 00:00:00,24,11,20,0,29.0,30.0
2015-11-20 01:00:00,20,11,20,1,24.0,29.0
2015-11-20 02:00:00,15,11,20,2,20.0,24.0
2015-11-20 03:00:00,14,11,20,3,15.0,20.0
2015-11-20 04:00:00,13,11,20,4,14.0,15.0
2015-11-20 05:00:00,8,11,20,5,13.0,14.0
2015-11-20 06:00:00,12,11,20,6,8.0,13.0
2015-11-20 07:00:00,14,11,20,7,12.0,8.0
2015-11-20 08:00:00,15,11,20,8,14.0,12.0
2015-11-20 09:00:00,20,11,20,9,15.0,14.0
2015-11-20 10:00:00,26,11,20,10,20.0,15.0
2015-11-20 11:00:00,26,11,20,11,26.0,20.0
2015-11-20 12:00:00,26,11,20,12,26.0,26.0
2015-11-20 13:00:00,21,11,20,13,26.0,26.0
2015-11-20 14:00:00,26,11,20,14,21.0,26.0
2015-11-20 15:00:00,29,11,20,15,26.0,21.0
2015-11-20 16:00:00,20,11,20,16,29.0,26.0
2015-11-20 17:00:00,22,11,20,17,20.0,29.0
2015-11-20 18:00:00,25,11,20,18,22.0,20.0
2015-11-20 19:00:00,27,11,20,19,25.0,22.0
2015-11-20 20:00:00,26,11,20,20,27.0,25.0
2015-11-20 21:00:00,24,11,20,21,26.0,27.0
2015-11-20 22:00:00,25,11,20,22,24.0,26.0
2015-11-20 23:00:00,21,11,20,23,25.0,24.0
2015-11-21 00:00:00,17,11,21,0,21.0,25.0
2015-11-21 01:00:00,16,11,21,1,17.0,21.0
